id,name,priority,website,aum,sectors,company_type,coverage_person,sample_portfolio_companies,comments,description,address,city,state,country
52,Houlihan Lokey,,,,,,,,,,,,,
53,Elite Dental,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,DSO,,,,
54,Horizon Primary Care,,,,Healthcare; Pharma / Pharma Services,Deal Target,,,,Portfolio of 4 primary care / join pain drugs,,,,
55,Steadman Clinic,,,,Healthcare; Providers,Deal Target,,,,"Orthopedic surgery clinics in Vail, Colorado",,,,
56,Signal Hill,,,,,,,,,,,,,
57,Ecinity,,,,Consumer Retail; Retail,Deal Target,,,,E-commerce platform for reverse logistics / Potential add-on for Bargain Hunt,,,,
58,umentioned,,,,Consumer Retail; Consumer Services,Deal Target,,,,Phillips add-on,,,,
59,Bitnami,,,,Consumer Retail; Food & Beverage,Deal Target,,,,CTI Foods add-on,,,,
60,Cascadia Capital,,,,,,,,,,,,,
61,FlightCar,,,,Consumer Retail; Retail,Deal Target,,,,Phillips add-on; conducting due diligence,,,,
62,JPM,,,,,,,,,,,,,
63,BuildZoom,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Urgent care provider in tri-state area with 68 facilities,,,,
64,TM Capital,,,,,,,,,,,,,
65,Signpost,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give & Go add on; marketed financing,,,,
66,William Blair,,,,,,,,,,,,,
67,Houzz,,,,Healthcare; Medical Devices / Products,Deal Target,,,,Manufacturer serving global medical device and aerospace & defense OEMs,,,,
68,Insurance Zebra,,,,Healthcare; Provider Outsourcing,Deal Target,,,,Contemplating combination with HSS that would result in 50% / 50% ownership,,,,
69,Siegel Management,,,,,,,,,,,,,
70,Conversocial,,,,Consumer Retail; Food & Beverage,Deal Target,,,,CTI Foods add-on,,,,
71,RBC,,,,,,,,,,,,,
72,SÅsh,,,,Consumer Retail; Retail,Deal Target,,,,Furniture and mattress retailer in the Midwest with 110 stores,,,,
73,Belly,,,,Consumer Retail; Restaurants,Deal Target,,,,Divestiture from Bob Evans Farms with 524 restaurants across 18 states,,,,
74,Moelis,,,,,,,,,,,,,
75,Thalmic,,,,Consumer Retail; Restaurants,Deal Target,,,,Casual dining restaurants,,,,
76,IFTTT,,,,Consumer Retail; Retail,Deal Target,,,,AVF add-on,,,,
77,BMO,,,,,,,,,,,,,
78,SmartThings,,,,Healthcare; Provider Outsourcing,Deal Target,,,,Provider of outsourced clinical services to hospitals and health systems,,,,
79,Piper Jaffray,,,,,,,,,,,,,
80,North Point,,,,,,,,,,,,,
81,iCracked Inc.,,,,Consumer Retail; Restaurants,Deal Target,,,,Franchisor of Checkers and Rally's restaurants with 837 units across the US,,,,
82,Credit Suisse,,,,,,,,,,,,,
83,DB,,,,,,,,,,,,,
84,Nextdoor.com,,,,Consumer Retail; Restaurants,Deal Target,,,,Chuck E. Cheese's and Peter Piper Pizza brands; 559 venues and 188 franchises across 47 states and 12 foreign countries,,,,
85,littleBits,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Supplier of baked goods to quick service restaurants globally,,,,
86,Fieldbrook Foods,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Manufacturer of packaged ice cream and frozen novelty products,,,,
87,Duff & Phelps,,,,,,,,,,,,,
88,Gordmans Stores,,,,Consumer Retail; Retail,Deal Target,,,,Midwestern everyday low price department store with 106 stores,,,,
89,Advisory Board Company,,,,Healthcare; Provider Outsourcing,Deal Target,,,,IMX opportunity,,,,
90,Greif & Co,,,,,,,,,,,,,
91,Capital Brands,,,,Consumer Retail; Consumer Products,Deal Target,,,,Designer and marketer of branded health and wellness products; most notably kitchen countertop appliances,,,,
92,Harris Williams,,,,,,,,,,,,,
93,Express Oil Change & Tire,,,,Consumer Retail; Retail,Deal Target,,,,Automotive aftermarket services platform with 290 locations in the southeastern US,,,,
94,Perkins & Marie Callender's,,,,Consumer Retail; Restaurants,Deal Target,,,,"Casual family restaurants and bakery business across US, Canada, and Mexico",,,,
95,Petmate,,,,Consumer Retail; Consumer Products,Deal Target,,,,Pet product manufacturer,,,,
96,MB2 Dental Solutions,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,"Dental Services Organization (“DSO”) servicing practices in TX, NM, OK, LA, TN and AK",,,,
97,Finnea Group,,,,,,,,,,,,,
98,Synergy Health Partners,,,,Healthcare; Providers,Deal Target,,,,"Orthopedic, spine, and pain management healthcare system in the SE Michigan area",,,,
99,Thermo Fisher Assets,,,,Healthcare; Medical Devices / Products,Deal Target,,,,"Thermo spinning off some assets, NDA in process",,,,
100,Country Fresh,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Fresh-cut fruits and vegetables wholesale business,,,,
101,PDC Brands,,,,Consumer Retail; Consumer Products,Deal Target,,,,Global portfolio of beauty and wellness brands,,,,
102,Focal Point,,,,,,,,,,,,,
103,Heartland Automotive Services,,,,Consumer Retail; Consumer Products,Deal Target,,,,America’s largest Jiffy Lube franchisee with 530 stores across 26 states,,,,
104,Melissa & Doug,,,,Consumer Retail; Consumer Products,Deal Target,,,,Maunfacturer and purveyor of children's toys globally,,,,
105,Headwaters,,,,,,,,,,,,,
106,Benson's,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give & Go add-on,,,,
107,Ob Hospitalist Group,,,,Healthcare; Providers,Deal Target,,,,Obstetric and Gynecology hospitalist platform in the US,,,,
108,ProEx,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,ProPT add-on opportunity with 15 clinics in MA,,,,
109,BakeMark,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Bakery ingredients distributor, manufacturer, and service provider in North America",,,,
110,Censeo,,,,Healthcare; Payor Services,Deal Target,,,,"Provides health risk assessments, quality gap closure, and care management solutions to health plans",,,,
111,Centerview,,,,,,,,,,,,,
112,DuPage Medical Group,,,,Healthcare; Providers,Deal Target,,,,Multi-specialty physician group,,,,
113,Ortholite,,,,Consumer Retail; Consumer Products,Deal Target,,,,Manufacturer of insoles provided to world's largest footwear brands,,,,
114,Café Rio,,,,Consumer Retail; Restaurants,Deal Target,,,,Fast casual Mexican restaurants with 114 units across 12 states,,,,
115,Guggenheim,,,,,,,,,,,,,
116,American Medical Response,,,,Healthcare; Provider Outsourcing,Deal Target,,,,Emergency medical services and transportation,,,,
117,Allergy Partners,,,,Healthcare; Providers,Deal Target,,,,Allergy and asthma services platform with 133 locations across 23 states,,,,
118,Western Reserve Partners,,,,,,,,,,,,,
119,Kichler,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Developer of decorative residential and light commercial lighting products, ceiling fans and LED task lighting product solutions",,,,
120,Canaccord,,,,,,,,,,,,,
121,Urgent Care Group,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Management team looking for investors to back consolidation of urgent care clinics,,,,
122,American Freight,,,,Consumer Retail; Retail,Deal Target,,,,Furniture retailer with 128 stores across 23 states,,,,
123,Le-Vel,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Direct-seller of branded wellness and nutritional products across US, Canada, Mexico, Australia, the UK, and New Zealand",,,,
124,Blaze Pizza,,,,Consumer Retail; Restaurants,Deal Target,,,,Fast casual pizza restaurants with 173 locations across 31 states,,,,
125,Back to Nature,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Multi-channel branded snacking platform in North America currently composed of Back to Nature and Snackwell's brands,,,,
126,Captain D's,,,,Consumer Retail; Restaurants,Deal Target,,,,Fast casual seafood restaurants with 516 units across 21 states,,,,
127,Dade Paper,,,,Consumer Retail; Restaurants,Deal Target,,,,"Independent distributor of foodservice disposables, janitorial supplies, and cleaning equipment in the Eastern US",,,,
128,PJSC,,,,,,,,,,,,,
129,El Rancho,,,,Consumer Retail; Retail,Deal Target,,,,"Latino-focused specialty food retailer and distributor, with 15 stores in Texas",,,,
130,Kriser's Natural Pet,,,,Consumer Retail; Retail,Deal Target,,,,"Retailer of pet food, supplies, and grooming services with 42 locations across the US",,,,
131,Pennant Foods,,,,Consumer Retail; Restaurants,Deal Target,,,,"Franchisee of Wendy's, with 87 locations across US",,,,
132,Uncle Julio's,,,,Consumer Retail; Restaurants,Deal Target,,,,"Upscale, full-service Mexican restaurants with 27 locations across 7 states",,,,
133,United Natural Foods,,,,Consumer Retail; Consumer Services,Deal Target,,,,"Largest natural, organic, and specialty foods distributor in US and Canada",,,,
134,Citi,,,,,,,,,,,,,
135,US Fitness,,,,Consumer Retail; Other,Deal Target,,,,"Fitness platform with 38 clubs in the Mid-Atlantic and Southeast composed of the Onelife, Sport & Health, and Crunch banners",,,,
136,Pier 1 Imports,,,,Consumer Retail; Retail,Deal Target,,,,Public home furnishings and furniture retailer,,,,
137,Snooze Eatery,,,,Consumer Retail; Restaurants,Deal Target,,,,Breakfast and brunch focused restaurant growth company,,,,
138,Healthtronics,,,,Healthcare; Providers,Deal Target,,,,Provider of outsourced urological services,,,,
139,HemaSource,,,,Healthcare; Distribution,Deal Target,,,,Technology enabled distributor of medical supplies for plasma collection centers,,,,
140,REVA,,,,Healthcare; Provider Outsourcing,Deal Target,,,,Fixed-wing air medical transport services,,,,
141,Carrabba's,,,,Consumer Retail; Restaurants,Deal Target,,,,Casual authentic Italian restaurant serving handcrafted dishes,,,,
142,Allen & Co,,,,,,,,,,,,,
143,Millennium Health,,,,Healthcare; Providers,Deal Target,,,,Entered exclusivity period but currently pencils down due to Medicare uncertainty,,,,
144,KBS,,,,Consumer Retail; Other,Deal Target,,,,GCA add-on,,,,
145,Steven-Robert Originals,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give and Go add-on,,,,
146,Bay State,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,ProPT add-on opportunity with ~50 clinics in MA & NH,,,,
147,Premier,,,,Healthcare; Healthcare,Deal Target,,,,Private duty nursing / capitated risk / HSAs,,,,
148,Capsa,,,,Healthcare; Medical Devices / Products,Deal Target,,,,Developer and manufacturer of point of care workstations,,,,
149,Smile Doctors,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Scale orthodontics platform,,,,
150,Invista,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Apparel technology company developing, producing, branding, and marketing fibers and fabrics",,,,
151,King's Pastry,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give & Go add-on,,,,
152,Deckers Brands,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Portfolio of brands including UGG, Teva, Sanuk, Hoka, and Koolaburra",,,,
153,First Watch,,,,Consumer Retail; Restaurants,Deal Target,,,,Chain of full-service daytime cafés focused on breakfast and brunch offerings,,,,
154,RXBAR,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Snack brand offering whole-food protein bars,,,,
155,Morris Furniture,,,,Consumer Retail; Retail,Deal Target,,,,"AVF add-on with 16 stores (10 Ashley stores) operating in Cincinnati, Dayton, and Columbus",,,,
156,Cain,,,,,,,,,,,,,
157,Clinical Innovations,,,,Healthcare; Medical Devices / Products,Deal Target,,,,Provider of consumables for L&D and NICU departments,,,,
158,Summit BHC,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Behavioral health with focus on addiction services; NDA in process,,,,
159,ERC,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,"Vertically integrated, national care system dedicated to eating disorders; NDA in process",,,,
160,Young Innovations,,,,Healthcare; Medical Devices / Products,Deal Target,,,,Manufacturer of branded and private label dental consumables,,,,
161,Argon,,,,Healthcare; Medical Devices / Products,Deal Target,,,,"Manufacturer of single-use interventional products, primarily targeted towards Interventional Radiologists",,,,
162,Boston Market,,,,Consumer Retail; Restaurants,Deal Target,,,,Fast casual rotisserrie chicken brand with 459 restaurants across 33 states,,,,
163,RxCrossroads,,,,Healthcare; Pharma / Pharma Services,Deal Target,,,,Provides integrated set of services to pharma companies to drive higher rates of penetration and compliance for specialty drugs; CVS Health divestiture; NDA in process,,,,
164,Mallinckrodt Controlled Substances,,,,Healthcare; Pharma / Pharma Services,Deal Target,,,,Mallinckrodt spin-out of vertically integrated controlled substances generics business,,,,
165,Key Banc,,,,,,,,,,,,,
166,Renaissance Imaging Medical Associates,,,,Healthcare; Providers,Deal Target,,,,Largest independent provider of on-site radiology services in California / one of largest groups in the U.S.,,,,
167,Manna Pro,,,,Consumer Retail; Consumer Services,Deal Target,,,,Supplier and distributor of nutrition & care products for pets,,,,
168,Sizzling Platter,,,,Consumer Retail; Restaurants,Deal Target,,,,"Franchisee of Little Caesars, Dunkin' and Wingstop with 443 locations across the US and Mexico",,,,
169,Vision Direct,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,1-800 CONTACTS add-on,,,,
170,General Pet,,,,Consumer Retail; Consumer Services,Deal Target,,,,Phillips add-on,,,,
171,Clear Choice,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Operator of 36 dental restoration and dental implant treatment centers,,,,
172,Traeger,,,,Consumer Retail; Consumer Products,Deal Target,,,,Branded wood pellet grills & smokers,,,,
173,MDVIP,,,,Healthcare; Providers,Deal Target,,,,Largest concierge provider of membership-based private healthcare services,,,,
174,Fontanini,,,,Consumer Retail; Food & Beverage,Deal Target,,,,CTI Foods add-on; re-submitted bid to management - awaiting feedback,,,,
175,Laces,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Designer, manufacturer, and marketer of bath accessories and home goods to retailers across North America",,,,
176,Shopko,,,,Consumer Retail; Retail,Deal Target,,,,Operator of 383 general merchandise stores across 26 states,,,,
177,TriMark,,,,Consumer Retail; Restaurants,Deal Target,,,,"Provider of commercial kitchen equipment, restaurant supplies & design services",,,,
178,Unidine,,,,Consumer Retail; Consumer Services,Deal Target,,,,Provider of food and dining management services to healthcare end market (senior living and hospitals),,,,
179,Mel-O-Cream,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Give & Go add-on; donut plant in Springfield, IL; current revenue of $12mm and capacity for $50-$60mm",,,,
180,MEDHOST,,,,Healthcare; Provider Outsourcing,Deal Target,,,,Full-service healtcare information services vendor,,,,
181,Benevis,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Dental support organization with 147 offices across the eastern Unted States,,,,
182,Coventry Workers' Comp,,,,Healthcare; Payor Services,Deal Target,,,,Coventry's workers' comp segment; potential carve-out opportunity,,,,
183,Laser Spine Institute,,,,Healthcare; Providers,Deal Target,,,,Provider of minimally invasive spine surgery operating 7 U.S. centers,,,,
184,BR Partners,,,,,,,,,,,,,
185,Regina,,,,Consumer Retail; Retail,Deal Target,,,,Party City add-on; conducting due diligence,,,,
186,Old Chicago,,,,Consumer Retail; Restaurants,Deal Target,,,,Full-service casual dining concept,,,,
187,Qdoba,,,,Consumer Retail; Restaurants,Deal Target,,,,Fast-casual Mexican restaurant,,,,
188,iHerb,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Pure play online retailer of VMS, natural/organic personal care, and other health and wellness products",,,,
189,Cloverleaf Cold Storage,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Family-owned and operated warehouse company offering public and contract storage in refrigerated, frozen, and dry environments",,,,
190,Deutsche Bank,,,,,,,,,,,,,
191,Dole Food Company,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Grower and distributor of fresh fruits and vegetables,,,,
192,Medicus,,,,Healthcare; Provider Outsourcing,Deal Target,,,,4th largest locum tenens staffing company,,,,
193,ASC,,,,Consumer Retail; Consumer Services,Deal Target,,,,Phillips add-on,,,,
194,Fast Track It,,,,Consumer Retail; Retail,Deal Target,,,,Bargain Hunt add-on; re-engaging with sellers in the fall,,,,
195,Statewide,,,,Consumer Retail; Consumer Services,Deal Target,,,,Phillips add-on; Oklahoma based pet food distributor.  Receiving preliminary financial data,,,,
196,Rothschild,,,,,,,,,,,,,
197,Tyson Kettle,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Asset sale of Tyson’s kettle business, which produces sauces, dips, soups and sides",,,,
198,Deloitte,,,,,,,,,,,,,
199,United Pacific Pet,,,,Consumer Retail; Consumer Services,Deal Target,,,,Phillips add-on; Southern California based pet food distributor,,,,
200,Del Frisco's,,,,Consumer Retail; Restaurants,Deal Target,,,,Owns and operates 3 steakhouse restaurant concepts,,,,
201,Exxon Assets,,,,Consumer Retail; Retail,Deal Target,,,,Purchase of Exxon assets with partner Capital Petroleum Group.  Submitted IOI on 4/24.,,,,
202,Fiesta Restaurant Group,,,,Consumer Retail; Restaurants,Deal Target,,,,Public company that operates Pollo Tropical and Taco Cabana fast casual dining brands; submitted IOI,,,,
203,Luna Grill,,,,Consumer Retail; Restaurants,Deal Target,,,,Fast casual Mediterranean restaurant,,,,
204,Quala,,,,Consumer Retail; Consumer Services,Deal Target,,,,"Provides cleaning, testing and repair services for commercial & industrial portable liquid and dry bulk containers",,,,
205,Teva Women's Health,,,,Healthcare; Pharma / Pharma Services,Deal Target,,,,Spin out of US and Europe women's health products,,,,
206,TricorBraun,,,,Consumer Retail; Other,Deal Target,,,,,,,,
207,Zodiac,,,,Consumer Retail; Other,Deal Target,,,,Pure play pool equipment and solutions,,,,
208,Café Valley,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give & Go add-on,,,,
209,Sweet Sam's,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give & Go add-on; iced pound cake and crumb cake,,,,
210,ACG & PRP,,,,Consumer Retail; Restaurants,Deal Target,,,,"Largest IHOP franchisee, currently operating 113 restaurants across 8 states",,,,
211,Carolina Beverage Group,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"North American contract beverage manufacturer operating facilities in Mooresville, North Carolina and Fort Worth, Texas",,,,
212,GoWireless,,,,Consumer Retail; Retail,Deal Target,,,,Exclusive retailer of Verizon wireless stores; Blair facilitating one-off discussion with owner,,,,
213,Huddle House,,,,Consumer Retail; Restaurants,Deal Target,,,,Franchisor and operator of 358 homestyle cooking diners with heavy presence in Southeast. Currently owned by Sentinel,,,,
214,Nonni's,,,,Consumer Retail; Food & Beverage,Deal Target,,,,largest independent premium baked snacking brand & platform in North America,,,,
215,Peter J Solomon,,,,,,,,,,,,,
216,Tillys,,,,Consumer Retail; Retail,Deal Target,,,,Specialty apparel retailer operating 221 stores in 31 states,,,,
217,Variety Wholesalers,,,,Consumer Retail; Retail,Deal Target,,,,"Conglomerate of retail stores including Roses, Maxway, and Super 10, amongst others; one-off discussion with owner",,,,
218,Vitamin Shoppe,,,,Consumer Retail; Retail,Deal Target,,,,Multi-channel specialty retailer and contract manufacturer of nutritional products in the United States and internationally,,,,
219,Midwest Dental,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,"Dental support organiziation (DSO), owned by FFL",,,,
220,JP Morgan,,,,,,,,,,,,,
221,BJ's Wholesale Club,,,,Consumer Retail; Retail,Deal Target,,,,Wholesale club operator with 215 warehouse locations and 5.2mm members,,,,
222,AccentCare,,,,Healthcare; Providers,Deal Target,,,,"Provider of home health services, owned by Oak Hill",,,,
223,Woodbridge International,,,,,,,,,,,,,
224,Atlanta Cheesecake,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Give & Go add-on; thaw-and-sell and frozen cheesecake manufacturer for grocery & wholesale club based in Kennesaw, GA",,,,
225,Brownie Brittle,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Manufacturer and distributor of brownie products; Give & Go add-on,,,,
226,Allen & Co.,,,,,,,,,,,,,
227,CareCentrix,,,,Healthcare; Payor Services,Deal Target,,,,Provider of care-coordination for post-acute care,,,,
228,NxGen MDx,,,,Healthcare; Providers,Deal Target,,,,Genetic carrier testing,,,,
229,Cantor Fitzgerald,,,,,,,,,,,,,
230,Alecto Healthcare Services,,,,Healthcare; Other,Deal Target,,,,Owner and operator of hospitals,,,,
231,MedRisk,,,,Healthcare; Payor Services,Deal Target,,,,Physical therapy benefit manager in the Workers’ Comp space,,,,
232,Leerink,,,,,,,,,,,,,
233,New Century Health,,,,Healthcare; Payor Services,Deal Target,,,,Specialty care management company focused on Oncology and Cardiology,,,,
234,Nestlé USA Confectionary,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Manufacturer and distributor of Nestlé confectionary products in the United States,,,,
235,Wheel Pros,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Designer, marketer, and distributor of branded aftermarket wheels, performance tires, and accessories",,,,
236,Nutex Health,,,,Healthcare; Other,Deal Target,,,,Texas-based freestanding ED & micro-hospital operator,,,,
237,Potbelly,,,,Consumer Retail; Restaurants,Deal Target,,,,"Owner, operator, and franchisor of 441 sandwich shops across the United States",,,,
238,BAML,,,,,,,,,,,,,
239,Chuy's,,,,Consumer Retail; Restaurants,Deal Target,,,,Casual dining Tex-Mex restaurant chain with 85 locations,,,,
240,Ferraro Foods,,,,Consumer Retail; Consumer Services,Deal Target,,,,Specialty Italian foodservice distributor,,,,
241,Indigo Wild,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Manufacturer and distributor of all-natural, handcrafted bath, skin, home and cleaning products.",,,,
242,RugsUSA,,,,Consumer Retail; Retail,Deal Target,,,,E-Retailer of rugs,,,,
